month_number,price1,price1noadj,security_id,ticker
480,21.7,21.7,74525,GCVCX
480,21.91,21.91,74522,GCVIX
480,0,0,65277,GCXXX
480,0,0,53458,GEADX
480,18.47,18.47,68418,GEDYX
480,18.47,18.47,68417,GEDZX
480,44.35,44.35,64830,GEGTX
480,0,0,53457,GEIAX
480,0,0,53459,GEIIX
480,20.66,20.66,60566,GEMAX
480,18.38,18.38,60569,GEMCX
480,22.18,22.18,60568,GEMIX
480,33.52,33.52,71972,GEMMX
480,19.97,19.97,60567,GEMSX
480,0,0,56346,GENXX
480,24.17,24.17,73072,GEQAX
480,34.98,34.98,55464,GEQYX
480,34.96,34.96,55463,GEQZX
480,0,0,69120,GESLX
480,59.18,59.18,74777,GESSX
480,40.7,40.7,64039,GETGX
480,48.42,48.42,78609,GFACX
480,52.74,52.74,78610,GFAFX
480,11.92,11.92,55523,GFIZX
480,13.04,13.04,57076,GGBZX
480,70.75,70.75,69403,GGCAX
480,60.96,60.96,69404,GGCCX
480,19,19,70216,GGEAX
480,17.76,17.76,70217,GGECX
480,19.64,19.64,70215,GGEIX
480,27.6,27.6,62105,GGEYX
480,27.4,27.4,62104,GGEZX
480,9.69,9.69,76857,GGFRX
480,37.87,37.87,54004,GGGAX
480,31.64,31.64,54005,GGGCX
480,41.74,41.74,70806,GGHCX
480,18.13,18.13,71774,GGHEX
480,8.52,8.52,58906,GGIFX
480,0,0,66616,GGISX
480,12.79,12.79,54232,GGIZX
480,11.96,11.96,69555,GGLCX
480,14.61,14.61,75188,GGLIX
480,12.53,12.53,75187,GGLRX
480,18.79,18.79,58199,GGOAX
480,10.5,10.5,58200,GGOCX
480,23.78,23.78,58201,GGOIX
480,17.49,17.49,58202,GGOSX
480,9.89,9.89,76011,GGRAX
480,6.5,6.5,76012,GGRCX
480,16.38,16.38,70658,GGSAX
480,16.56,16.56,70659,GGSCX
480,16.42,16.42,70661,GGSIX
480,16.31,16.31,70660,GGSSX
480,0,0,56711,GGSXX
480,8.55,8.55,79238,GGUIX
480,26.56,26.56,63591,GHAAX
480,22.52,22.52,63592,GHACX
480,0,0,63341,GHYAX
480,0,0,63340,GHYCX
480,0,0,63339,GHYIX
480,8.43,8.43,74179,GHYYX
480,37.88,37.88,54003,GICPX
480,30.13,30.13,62380,GIEAX
480,14.11,14.11,79423,GIEYX
480,14.11,14.11,79422,GIEZX
480,15.07,15.07,65114,GIGAX
480,14.11,14.11,65116,GIGCX
480,15.46,15.46,65118,GIGIX
480,23.81,23.81,63822,GIGRX
480,15.4,15.4,65115,GIGSX
480,8,8,62145,GIIAX
480,7.45,7.45,62147,GIICX
480,0,0,63453,GIJAX
