month_number,mon_ret,security_id,ticker
479,0.0512837,398,DZK
479,-0.0340575,399,DPK
479,-0.11414669999999999,400,TZA
479,0.11904769999999999,401,TNA
479,-0.0990654,402,SPXS
479,0.10825439999999999,403,SPXL
479,-0.0652174,404,ERY
479,0.0108586,407,CHAD
479,-0.1294058,408,WDRW
479,0.1295956,409,DPST
479,0.0366257,410,QQQE
479,0.082065,411,SMLL
479,0.0734106,412,SPUU
479,0.035273900000000004,413,EURL
479,-0.0447276,414,ZMLP
479,0.0024678,415,SAGG
479,0.0061335,416,TYBS
479,0.0396737,417,JPNL
479,-0.0359663,418,KORU
479,-0.151696,419,BRZU
479,0.0537314,420,JDST
479,-0.0395143,422,LACK
479,0.030899,423,KNOW
479,0.0404452,424,NEED
479,0.15482520000000002,426,CURE
479,-0.038130300000000006,427,PASS
479,-0.0077543,428,COM
479,0.019120599999999998,429,RWDE
479,-0.0065742000000000005,430,RWED
479,0.0234444,431,RWDC
479,0.047150300000000006,432,RWCD
479,0.0414498,433,RWSL
479,0.0362286,434,RWLS
479,-0.1091999,439,MUTE
479,0.1162595,440,TAWK
479,0.0701025,441,CWEB
479,0.0840192,442,UBOT
479,0.0055748,444,PPEM
479,0.0382842,445,PPMC
479,0.1762974,446,PILL
479,0.1572026,448,DFEN
479,0.1027617,449,TPOR
479,-0.0620206,450,UTSL
479,0.1342534,451,DUSL
479,-0.06287519999999999,452,MEXX
479,0.0498922,453,PPLC
479,0.017237400000000003,454,EUFL
479,0.0412189,456,PPSC
479,-0.03381459999999999,457,SPDN
479,-0.0004605,458,GASX
479,0.049282400000000004,459,NAIL
479,0.0547606,460,DRIP
479,-0.1333334,461,GUSH
479,-0.3529412,462,LABD
479,0.4825268,463,LABU
479,-0.025174900000000004,464,CHAU
479,-0.0499661,467,INCO
479,0.0032000999999999996,468,ECON
479,-0.0092993,471,XCEM
479,0.0038933999999999996,472,HOMZ
479,-0.0102428,473,NETL
479,-0.0005480000000000001,474,RYZZ
479,0.0452134,475,ZIG
479,0.0150769,476,FIVG
479,0.038551,477,ALFA
479,0.045688400000000004,478,DSTL
479,0.0062443,480,GDMA
479,0.0127744,481,GDG
479,0.0084443,482,CHNA
479,0.009509,483,DRSK
479,0.0120609,484,VIDI
479,0.0347796,485,QTUM
479,0.0249495,486,VIDG
479,0.0062598,487,OSCV
479,0.0012013,488,OPER
479,0.0410796,489,AIIQ
479,0.0502506,490,SLT
479,0.0232525,491,MSUS
479,0.0241762,492,VSL
479,0.029381099999999997,496,KNG
479,-0.022639799999999998,497,USAI
479,0.0475219,498,CHGX
479,0.0100948,499,EEMD
479,0.0326919,500,SPDV
479,-0.00058,501,VBND
479,0.046948800000000006,502,FTVA
479,0.026644400000000002,503,MAGA
479,-0.0113387,504,MXDE
479,0.037762000000000004,505,MXDU
479,0.0039754,506,RBIN
479,0.020283900000000004,507,RBUS
479,0.0340191,508,RVRS
479,0.033045599999999994,509,BVAL
479,0.0766255,510,DVP
479,-0.0241787,511,GOAU
479,0.0160827,512,OCIO
479,0.016187,513,TCTL
479,0.026398200000000004,514,ACSI
479,0.1878784,516,CNCR
479,0.03075,517,SMCP
479,0.029677600000000002,518,JETS
479,0.0001276,519,HIPS
479,0.0351164,521,VALX
479,-0.0320018,523,GLTR
479,-0.0598005,524,SIVR
479,0.0212584,526,PALL
479,0.0197484,527,QYLD
479,0.0127971,528,DAX
479,-0.06937339999999999,529,AMZA
479,0.1664224,530,BBP
479,0.2204424,531,BBC
479,-0.0071009,532,PFFR
479,0.0028596,533,NFLT
479,-0.0006594,534,VRAI
479,0.0212135,535,VPC
479,-0.0225275,536,UTES
479,-0.0030721999999999998,537,PFFA
479,-0.011270299999999999,538,EMEM
479,0.027255200000000004,539,VGFO
479,0.0111711,541,RISE
479,0.0166391,542,BDRY
479,-0.0256762,543,BCI
479,-0.017097,544,BCD
479,0.026903399999999997,545,AOIL
479,0.0496457,547,AIEQ
479,0.032388400000000005,549,QDIV
479,0.0009118,551,LVHB
479,-0.038836300000000004,556,EINC
479,0.0102519,557,YYY
479,0.0117315,558,FLAG
479,0.04253169999999999,560,ROBO
479,0.0948831,561,HTEC
479,0.0402768,563,EKAR
479,0.028790499999999997,564,KOIN
479,0.023426,567,HTUS
479,0.0393963,569,EMQQ
479,0.0208167,570,HSPX
479,0.034356599999999994,571,KLDW
479,0.0206356,572,AMOM
479,0.04226780000000001,573,QRFT
479,0.008842299999999999,574,CEFS
479,0.0219545,575,PRID
479,0.0293474,576,HONR
479,0.0169855,577,SILJ
479,0.0839302,578,HACK
479,0.0549121,579,IPAY
479,-0.10985050000000002,580,MJ
479,0.030363599999999998,581,GAMR
479,0.0245335,582,IVES
